title,disposition
9:20 Special,declined
12th Street Rag,declined
26-2,List 3
52nd Street Theme,List 3
502 Blues (AKA Drinkin' And Drivin'),List 3
Adam's Apple,List 2
An Affair to Remember,declined
Afro Blue,List 1A
Afro-Centric,List 3
After Hours,declined
After I Say I'm Sorry,declined
After The Rain,declined
After You've Gone,List 4
Afternoon in Paris,List 2
Ah-Leu-Cha,List 3
Ain't Misbehavin',List 4
Ain't She Sweet,declined
Air Mail Special,List 4
Airegin,List 1B
Aisha,declined
Alexander's Ragtime Band,declined
Alfie,List 5B
Alice In Wonderland,List 2
All Alone,declined
All Blues,List 1A
All By Myself,declined
All God's Chillun Got Rhythm,declined
All My Life,declined
All of Me,List 1A
All of You,List 1B
All or Nothing At All,List 5B
All the Things You Are,List 1A
All the Way,List 5B
All Through the Night,declined
All Too Soon,List 4
Allen's Alley,List 3
Almost Like Being in Love,List 5A
Alone Together,List 1A
Along Came Betty,List 2
Always,declined
Am I Blue,List 5C
Amazing Grace,declined
Ambrosia,declined
Ana Maria,List 3
And the Angels Sing,declined
Angel Eyes,List 1B
Angola,declined
Anthropology,List 1A
Any Old Time,declined
Anything Goes,declined
Apex,declined
April in Paris,List 5A
Are You Real?,List 3
Arietis,declined
As Long As I Live,List 5C
As Time Goes By,List 5B
Ask Me Now,List 3
At Last,List 5B
At Long Last Love,declined
At Sundown,declined
At the Jazz Band Ball,List 4
"A-Tisket, A-Tasket",declined
Au Privave,List 1A
Auld Lang Syne,declined
Aunt Hagar's Blues,declined
Autumn in New York,List 5A
Autumn Leaves (Les Feuilles Mortes),List 1A
Autumn Nocturne,declined
Autumn Serenade,declined
Avalon,List 4
Away in a Manger,declined
Azure,List 4
"Baby, It's Cold Outside",declined
Baby Won't You Please Come Home,List 4
Back in Your Own Backyard,declined
Back Water Blues,declined
Backstage Sally,declined
Bad and the Beautiful (Theme from the),declined
Bags' Groove,List 1A
Baia,declined
Ballin' the Jack,declined
Ba-lue Bolivar Ba-lues-are (AKA Bolivar Blues),List 3
Barbados,List 2
Barbara,declined
Barracudas,declined
Basin Street Blues,List 4
Bass Blues,List 3
"Baubles, Bangles and Beads",declined
Be My Love,declined
Beale Street Blues,declined
Bean And The Boys (AKA Burt Covers Bud),List 3
Beatrice,List 1B
A Beautiful Friendship,declined
Beautiful Love,List 1B
Be-Bop,List 2
Begin the Beguine,List 5C
Bei Mir Bist Du Schoen,declined
Bemsha Swing,List 2
Bernie's Tune,List 2
Besame Mucho,List 5B
"Bess, You Is My Woman Now",declined
Bessie's Blues,List 2
The Best Is Yet to Come,declined
The Best Thing for You,declined
The Best Things in Life Are Free,declined
Between the Devil and the Deep Blue Sea,List 5B
Bewitched,List 5B
Beyond All Limits,declined
Big Foot,List 3
Big Nick,declined
The Big Push,declined
Bill,declined
Bill Bailey Won't You Please Come Home,declined
Billie's Bounce,List 1A
Billy Boy,declined
Birdlike,List 2
Birk's Works,List 2
Birth of the Blues,declined
Bittersweet,declined
Black and Blue,declined
Black and Tan Fantasy,List 4
Black Coffee,List 5C
Black Narcissus,List 3
Black Nile,List 3
Blame It on My Youth,List 5C
The Blessing,List 3
Blood Count,List 3
Bloomdido,List 3
Blue and Sentimental,List 4
Blue Bossa,List 1A
Blue Daniel,declined
Blue in Green,List 2
Blue Lou,declined
Blue Monk,List 1A
Blue Moon,List 5A
Blue 'N' Boogie,List 2
Blue Room,List 5C
Blue Seven,List 2
Blue Silver,declined
Blue Skies,List 5A
Blue Spirits,declined
Blue Trane,List 1A
Blue Turning Grey Over You,declined
Blueberry Hill,declined
Bluebird,List 3
Blues By Five,declined
Blues For Alice,List 1A
Blues For Wood,List 3
Blues in My Heart,declined
Blues in the Closet,List 3
Blues in the Night,List 5B
Blues March,List 2
Blues Minor,List 3
Blues On The Corner,List 2
The Blues Walk,List 1A
Bluesette,List 1B
Body and Soul,List 1A
Bohemia After Dark,List 2
Bolivia,List 2
Book's Bossa,declined
Boplicity,List 3
Born to Be Blue,List 5B
Bouncin' with Bud,List 3
The Boy Next Door,declined
Brazil,declined
The Breeze and I,declined
Bright Mississippi,List 3
Brilliant Corners,List 3
Brite Piece,declined
Broadway,declined
Brownskin Girl,declined
Bugle Call Rag,List 4
But Beautiful,List 1B
But Not for Me,List 1B
Buzzy,List 3
By Myself,declined
Bye Bye Blackbird,List 1A
Bye Bye Blues,declined
Bye-Ya,declined
C Jam Blues,List 4
C. R. M.,declined
Cabin in the Sky,declined
Canadian Sunset,declined
Candy,declined
Can't Help Lovin' Dat Man,List 5C
Can't We Be Friends,declined
Cantaloupe Island,List 1A
Capetown Ambush,declined
Caravan,List 1A
Careless Love,declined
Carioca,declined
Celia,declined
Centerpiece,List 5A
Central Park West,List 3
Ceora,List 1B
Change Partners,declined
Charleston,declined
Chasin' the Bird,List 3
Chattanooga Choo Choo,declined
Cheek to Cheek,List 5C
Cheese Cake,List 3
Chelsea Bridge,List 4
Cherokee (Indian Love Song),List 1A
Cherry,declined
Cheryl,List 2
Chi Chi,List 3
Chicago (That Toddlin' Town),declined
Chick's Tune,List 3
A Child Is Born,List 2
Children Of The Night,List 3
China Boy,List 4
Chinatown My Chinatown,declined
Chloe,declined
Choose Now,declined
The Christmas Song,declined
Christmas Time is Here,declined
Christopher Columbus,declined
Chronic Blues,List 3
Close Enough for Love,declined
Close Your Eyes,List 5A
Cocktails for Two,declined
Come Rain or Come Shine,List 1B
Come Sunday,List 5A
Comes Love,List 5C
Con Alma,List 2
Conception,List 3
Confirmation,List 1A
Constellation,List 3
Contemplation,List 3
The Continental,declined
Cool Blues,List 2
Coquette,declined
Corcovado (Quiet Nights of Quiet Stars),List 1A
Cottage for Sale,declined
Cottontail,List 1A
Count Every Star,declined
Count Your Blessings,declined
Countdown,List 2
Cousin Mary,List 2
Crazeology,List 3
Crazy He Calls Me,List 5B
Crazy Rhythm,List 4
The Creole Love Call,declined
Crepuscule With Nellie,List 3
Crescent,List 3
Crisis,declined
Criss Cross,List 3
Cry Me a River,List 5C
C.T.A.,List 2
Cyclic Episode,declined
Daahoud,List 2
Dance Cadaverous,List 3
Dance Of The Infidels,List 3
Dancing in the Dark,List 5C
Dancing on the Ceiling,declined
Danny Boy,declined
Dark Eyes,declined
Darktown Strutters Ball,declined
Darn That Dream,List 5A
Dat Dere,List 2
Davenport Blues,declined
Day By Day,List 5C
Day Dream,List 5B
"Day In, Day Out",List 5C
Days of Wine and Roses,List 1A
Dear Old Southland,declined
Dear Old Stockholm,List 3
Dearly Beloved,declined
Dedicated to You,declined
Deed I Do,List 5C
Deep in a Dream,declined
Deep Night,declined
Deep Purple,declined
Deep River,declined
Del Sasser,List 3
Delilah,declined
Deluge,declined
Desafinado,List 1B
Detour Ahead,List 5B
Dewey Square,List 3
Dexterity,List 2
Diane,declined
Dig,declined
Dinah,List 4
Dindi,List 5B
Dizzy Atmosphere,List 2
Django,List 2
Do Nothin' Till You Hear from Me,List 5A
Do You Know What It Means to Miss New Orleans,declined
Doggin' Around,List 4
Dolphin Dance,List 1B
Donna Lee,List 1A
Don't Be That Way,List 4
Don't Blame Me,List 5A
Don't Explain,List 5B
Don't Get Around Much Anymore,List 1B
Don't Go to Strangers,declined
Don't Take Your Love from Me,declined
Don't Worry 'Bout Me,List 5C
Don't You Know I Care?,List 4
Doxy,List 1A
Dr. Jekyll (AKA Dr. Jackle),List 3
Dream,declined
Dream Dancing,declined
Dream of You,declined
Driftin',declined
Drop Me off in Harlem,declined
The Duke,List 3
Early Autumn,List 5C
East of the Sun (and West of the Moon),List 5A
Easter Parade,declined
Eastern Joy Dance,declined
Easy Does It,declined
Easy Living,List 5A
Easy to Love,List 5A
Ecaroh,declined
Echoes of Harlem,declined
Effendi,declined
Eighty One,List 2
El Gaucho,List 3
Elm,declined
Embraceable You,List 1B
Emily,List 5A
The End of a Love Affair,List 5B
Episode From A Village Dance,declined
Epistrophy,List 2
Equinox,List 1A
Eronel,List 3
Escapade,declined
E.S.P.,List 2
Estate,List 5B
The Eternal Triangle,List 2
Every Day I Have the Blues,declined
Every Tub,List 4
Everybody Loves My Baby,declined
Everything but You,declined
Everything Happens to Me,List 5A
Everything I Have Is Yours,declined
Everything Must Change,declined
Evidence,List 2
Ev'ry Time We Say Goodbye,List 5A
Ev'rything I Love,declined
Ev'rything I've Got (Belongs to You),declined
Exact Change,declined
Exactly Like You,List 4
Exodus,declined
The Eye Of The Hurricane,List 3
Fall,List 3
Falling in Love with Love,List 5A
Farewell Blues,declined
Fascinating Rhythm,List 5C
Fee-Fi-Fo-Fum,List 2
A Felicidade,declined
Fever,List 5C
Fidgety Feet,List 4
Fifth House,declined
Fine and Dandy,List 5C
Fine and Mellow,List 5B
A Fine Romance,declined
Firewater,declined
Firm Roots,List 3
First Trip,declined
Five O'clock Whistle,declined
Five Spot After Dark,List 3
Flamingo,List 2
The Flat Foot Floogie,declined
A Flower Is a Lovesome Thing,List 5C
Fly Little Bird Fly,declined
Fly Me to the Moon (In Other Words),List 5A
Flying Home,List 4
A Foggy Day,List 1B
The Folks Who Live on the Hill,List 5C
Fools Rush in (Where Angels Fear to Tread),List 5B
Footprints,List 1A
For All We Know,List 5C
For Heaven's Sake,List 5C
For Sentimental Reasons,List 5C
For You,declined
Forest Flower,declined
Four,List 1A
Four Brothers,List 4
Four By Five,declined
Four In One,List 3
Four On Six,List 2
Four or Five Times,declined
Frankie and Johnny,declined
Freddie Freeloader,List 1A
Freedom Jazz Dance,List 1B
Freeway,declined
Frenesi,declined
Friday The Thirteenth,declined
From This Moment On,List 5C
The Fruit,declined
Fuchsia Swing Song,List 3
Funji Mama,declined
Gaslight,declined
Gee Baby Ain't I Good to You,List 5A
The Gentle Rain,List 3
Georgia on My Mind,List 1B
Gertrude's Bounce,declined
Get Happy,List 5B
Get Out of Town,declined
Getting To Know You,declined
Giant Steps,List 2
Gingerbread Boy,List 2
The Girl from Ipanema,List 1A
Girl Talk,List 5C
Glad to Be Unhappy,List 5C
Glass Enclosure,declined
Gloomy Sunday,declined
Gloria's Step,List 3
The Glory of Love,declined
Gnid,declined
God Bless the Child,List 5A
God Rest Ye Merry Gentlemen,declined
Goin' Out of My Head,declined
Goin' to Chicago Blues,declined
Gone Again,declined
Gone with the Wind,List 1B
Good Bait,List 2
The Good Life,List 5B
Good Morning Heartache,List 5A
Goodbye,List 5C
Goodbye Pork Pie Hat,List 3
Goodnight My Love,declined
Grand Central,declined
Granted,declined
Green Eyes (Aquellos Ojos Verdes),declined
Green St. Caper,declined
Greensleeves,declined
Gregory Is Here,List 2
Groovin' High,List 1B
Guilty,declined
The Gypsy In My Soul,declined
Gypsy Without A Song,declined
Hackensack (AKA Rifftide),List 2
Half Nelson,List 2
Hallelujah,List 4
Hallucinations (AKA Budo),List 3
Happiness Is a Thing Called Joe,List 5C
Happy Times,declined
Harlem Nocturne,declined
Harvard Blues,declined
Haunted Heart,declined
Have You Met Miss Jones,List 1A
Have Yourself a Merry Little Christmas,declined
Heart and Soul,declined
Heat Wave,declined
Hello Dolly,declined
Hello Young Lovers,declined
Here's That Rainy Day,List 1A
Hey There,declined
Hi-Fly,List 2
The Holy Land,List 3
Homestretch (AKA Joe's Blues),List 3
Honeysuckle Rose,List 1B
Hot House,List 2
The Hour of Parting,declined
House Of Jade,declined
Household Of Saud,declined
How About You,List 5B
How Am I to Know?,declined
How Are Things In Glocca Morra?,declined
How Come You Do Me Like You Do,declined
How Could You Do A Thing Like That To Me,declined
How Deep Is the Ocean?,List 1B
How High the Moon,List 1A
How Insensitive,List 1B
How Long Has This Been Going On?,List 5A
"How Long, How Long Blues",declined
Hub-Tones,declined
Humoresque,declined
I Ain't Got Nobody (and Nobody Cares for Me),declined
I Ain't Got Nothin' but the Blues,declined
I Believe in You,declined
I Can't Believe That You're in Love with Me,List 4
I Can't Escape from You,declined
I Can't Get Started (with You),List 1B
I Can't Give You Anything but Love,List 5A
I Can't Stop Loving You,declined
I Concentrate on You,List 5B
I Could Have Danced All Night,declined
I Could Write a Book,List 5B
I Cover the Waterfront,List 5A
I Cried for You,declined
I Didn't Know About You,declined
I Didn't Know What Time It Was,List 5A
I Don't Know Why (I Just Do),declined
(I Don't Stand A) Ghost of a Chance,List 5A
I Don't Wanna Be Kissed,declined
I Fall in Love Too Easily,List 5A
I Get a Kick Out of You,List 5B
I Get Along Without You Very Well,declined
I Got It Bad (and That Ain't Good),List 5A
I Got Rhythm,List 1A
I Gotta Right to Sing the Blues,declined
I Guess I'll Hang My Tears Out To Dry,List 5C
I Guess I'll Have to Change My Plan,declined
I Had The Craziest Dream,declined
I Hadn't Anyone Till You,List 5C
I Hear a Rhapsody,List 1B
I Hear Music,declined
I Know That You Know,List 4
I Left My Heart in San Francisco,List 5C
I Let a Song Go Out of My Heart,List 5A
I Love Lucy,declined
I Love Paris,declined
I Love You,List 1A
I Loves You Porgy,List 5C
I May Be Wrong,declined
I Mean You,List 2
I Must Have That Man,declined
I Never Knew,declined
I Only Have Eyes for You,List 5A
I Remember Clifford,List 2
I Remember You,List 1B
I See Your Face Before Me,declined
I Should Care,List 5A
I Surrender Dear,List 5A
I Think You're Wonderful,declined
I Thought About You,List 5A
I Thought I'd Let You Know,declined
I Waited for You,declined
I Want a Little Girl,declined
I Want to Be Happy,List 4
I Want to Talk About You,List 5C
I Wish I Knew,declined
I Wish You Love,List 5B
I Wished on the Moon,declined
I Won't Dance,declined
(I Would Do) Anything for You,declined
Idaho,declined
If,declined
If Dreams Come True,declined
If Ever I Would Leave You,declined
If I Could Be with You (One Hour Tonight),List 4
If I Had You,List 5B
If I Loved You,declined
If I Should Lose You,List 5A
If I Were a Bell,List 2
If There Is Someone Lovelier Than You,declined
If This Isn't Love,declined
If You Could See Me Now,List 5A
I'll Be Around,List 5C
(I'll Be Glad When You're Dead) You Rascal You,List 4
I'll Be Seeing You,List 5B
I'll Close My Eyes,List 5B
I'll Get By (As Long As I Have You),declined
I'll Keep Loving You,declined
I'll Never Be the Same,declined
I'll Never Smile Again,declined
I'll Remember April,List 1B
I'll See You in My Dreams,declined
I'll String Along with You,declined
I'll Take Romance,declined
I'll Wait And Pray,declined
I'll Walk Alone,declined
Ill Wind,List 5C
I'm a Fool to Want You,declined
I'm an Old Cowhand (From the Rio Grande),declined
I'm Beginning to See the Light,List 5B
I'm Coming Virginia,declined
I'm Confessin' That I Love You,List 4
I'm Crazy 'Bout My Baby,declined
I'm Getting Sentimental Over You,declined
I'm Glad There Is You,declined
I'm Gonna Sit Right Down and Write Myself a Letter,List 4
I'm in the Mood for Love,List 5A
I'm Just a Lucky So and So,declined
I'm Just Wild About Harry,declined
I'm Old Fashioned,List 5B
I'm Putting All My Eggs in One Basket,declined
I'm So Excited By You,declined
I'm Thru with Love,declined
I'm Yours,declined
Imagination,List 5B
Impressions,List 1A
In A Capricornian Way,declined
In a Little Spanish Town,declined
In a Mellotone,List 4
In A Mist,declined
In a Sentimental Mood,List 1A
In Case You Haven't Heard,declined
In the Mood,List 4
In the Still of the Night,List 5C
In the Wee Small Hours of the Morning,List 5B
In Walked Bud,List 2
In Your Own Sweet Way,List 1B
Indian Summer,declined
Indiana (Back Home Again in Indiana),List 4
Infant Eyes,List 2
Inner Urge,List 2
Intrepid Fox,declined
Introspection,declined
Invitation,List 1A
Is That So,declined
Is You Is or Is You Ain't My Baby?,declined
Isfahan,List 2
Isn't It Romantic,List 5B
Isn't She Lovely,declined
Isotope,List 3
Israel,List 3
It Ain't Necessarily So,List 5C
It All Depends on You,declined
It Came Upon a Midnight Clear,declined
It Could Happen to You,List 1A
It Don't Mean a Thing,List 4
It Had to Be You,List 5A
It Might As Well Be Spring,List 5A
It Never Entered My Mind,List 5A
It's a Blue World,declined
It's a Wonderful World,declined
It's All Right with Me,List 5B
"It's Been a Long, Long Time",declined
It's Easy to Remember,List 5C
It's Magic,declined
It's Only a Paper Moon,List 5B
It's the Talk of the Town,List 5C
It's Wonderful,declined
It's You or No One,List 1B
I've Found a New Baby,List 4
I've Got a Crush on You,List 5B
I've Got a Feeling I'm Falling,declined
I've Got My Love to Keep Me Warm,declined
I've Got the World on a String,List 5B
I've Got You Under My Skin,List 5B
I've Grown Accustomed to Her Face,List 5C
I've Never Been in Love Before,List 5C
I've Told Ev'ry Little Star,declined
Jackie-ing,List 3
Ja-Da,declined
Jayne,declined
Jazz Me Blues,List 4
Jeannine,List 3
Jeep Is Jumpin',List 4
Jeepers Creepers,declined
Jersey Bounce,declined
Jim,declined
Jingle Bells,declined
Jitterbug Waltz,List 4
Jive At Five,declined
The Jody Grind,declined
Johnny Come Lately,List 4
Jordu,List 2
Joshua,List 3
Joy Spring,List 1A
Juju,List 2
Jump for Joy,declined
Jumpin' At the Woodside,List 4
Jumpin' with Symphony Sid,declined
Just a Closer Walk with Thee,declined
Just a Gigolo,declined
Just A-Sittin' and A-Rockin',declined
Just Friends,List 1A
Just in Time,List 5B
Just One More Chance,declined
Just One of Those Things,List 5A
Just Squeeze Me (But Don't Tease Me),List 4
"Just You, Just Me",List 4
Kansas City,declined
Katrina Ballerina,declined
K.C. Blues,List 3
Keepin' Out of Mischief Now,declined
The Kicker,List 2
Killer Joe,List 1B
Kim,List 3
King Porter Stomp,List 4
Knucklebean,declined
La Alhambra,declined
La Fiesta,List 3
La Mesha,List 3
Lady Bird,List 2
The Lady Is a Tramp,List 5A
The Lady's in Love with You,declined
Laird Baird,List 3
Lament,List 3
Lament For Booker,declined
The Lamp Is Low,declined
Last Night When We Were Young,List 5C
Laura,List 1B
Lazy Afternoon,declined
Lazy Bird,List 2
Lazy River,List 4
Lester Leaps In,List 4
Lester Left Town,declined
Let It Snow! Let It Snow! Let It Snow!,declined
Let Me Off Uptown,declined
Let Me Try,declined
Let's Call the Whole Thing Off,declined
Let's Call This,declined
Let's Cool One,declined
Let's Dance,declined
Let's Do It (Let's Fall in Love),declined
Let's Face the Music and Dance,declined
Let's Fall in Love,declined
Light Blue,declined
Like Someone in Love,List 1A
Like Sonny (AKA Simple Like),declined
Li'l Darlin',List 4
Lil's Paradise,declined
Limehouse Blues,List 4
Linger Awhile,declined
Litha,declined
Little B's Poem,List 2
Little Dancer,declined
Little Girl Blue,List 5B
Little Melonae,declined
Little Niles,declined
Little Old Lady,declined
Little One,declined
Little Red's Fantasy,declined
Little Rootie Tootie,List 3
Little Sunflower,List 1A
Little White Lies,declined
Little Willie Leaps,List 3
Liza (All the Clouds'll Roll Away),List 4
Locomotion,declined
Lonely Woman,declined
Lonesome Road,declined
Long Ago (and Far Away),declined
Lonnie's Lament,List 3
Look for the Silver Lining,declined
The Look of Love,declined
Lookout Farm,declined
Lost,declined
Lost in the Stars,declined
Lotus Blossom,List 5B
Louise,declined
Love Dance,declined
Love for Sale,List 1B
Love Is A Many Splendored Thing,declined
Love Is Here to Stay,List 1B
Love Is Just Around the Corner,declined
Love Letters,declined
Love Me or Leave Me,List 5B
Love Walked In,List 5C
Love You Madly,declined
Loveless Love,declined
Lover,List 5B
Lover Come Back to Me,List 5A
"Lover Man (Oh, Where Can You Be)",List 5A
Lucky Day,declined
Lullaby in Rhythm,declined
Lullaby of Birdland,List 1B
Lullaby of Broadway,declined
Lullaby of the Leaves,declined
Lulu's Back in Town,declined
Luny Tune,declined
Lush Life,List 5B
Mack the Knife,List 5A
The Maestro,declined
Mahjong,declined
Maiden Voyage,List 1A
Main Stem,declined
Make Believe,declined
Make Someone Happy,declined
Makin' Whoopee,List 5B
Mamacita,declined
Mambo Inn,declined
The Man I Love,List 5A
The Man That Got Away,List 5C
"Manha De Carnaval (AKA Morning Of The Carnival, The Theme From Black Orpheus, and A Day In The Life Of A Fool)",List 1A
Manhattan,declined
Manteca,List 1B
Maple Leaf Rag,declined
Margie,declined
Maria,declined
Marie,declined
Mas Que Nada,declined
The Masquerade Is Over,declined
Mating Call,declined
Matrix,List 3
Maybe,declined
Maybe You'll Be There,declined
Mayreh,List 3
Mean to Me,List 5A
Meaning of the Blues,List 5C
Meditation,List 1B
(Meet) The Flintstones,declined
Melancholia,declined
Memories of You,List 5A
Memphis Blues,declined
"Mercy, Mercy, Mercy",List 1A
Midnight Sun,List 5C
Miles' Mode,List 3
Milestones,List 1A
Milestones (old),declined
Minority,List 2
"Mirror, Mirror",declined
Misterioso,List 2
Misty,List 1A
Miyako,declined
Mo' Joe,declined
Moanin',List 1B
Mode For Joe,List 3
Mohawk,List 3
Moment's Notice,List 1A
Monk's Dream,List 2
Monk's Mood,List 2
The Mooche,declined
Mood Indigo,List 5A
Moon Alley,declined
Moon Rays,declined
