title_as_ranked	rank
12th Street Rag	351
52nd Street Theme	433
9:20 Special	597
A Child Is Born	323
A Felicidade	708
A Fine Romance	427
A Flower Is a Lovesome Thing	398
A Foggy Day	88
A Nightingale Sang in Berkeley Square	804
A Sleepin' Bee	701
A Sunday Kind of Love	752
A Taste of Honey	893
A Time for Love	283
A-Tisket, A-Tasket	575
Afro Blue	772
After Hours	828
After I Say I'm Sorry	560
After You've Gone	34
Afternoon in Paris	532
Ain't Misbehavin'	32
Ain't She Sweet	650
Air Mail Special	448
Airegin	293
Alexander's Ragtime Band	578
Alfie	545
All Alone	918
All Blues	248
All By Myself	986
All God's Chillun Got Rhythm	296
All My Life	950
All of Me	71
All of You	356
All or Nothing At All	387
All the Things You Are	2
All the Way	570
All Through the Night	509
All Too Soon	459
Allen's Alley	700
Almost Like Being in Love	265
Alone Together	89
Always	302
Am I Blue	486
Amazing Grace	731
An Affair to Remember	966
And the Angels Sing	786
Angel Eyes	67
Anthropology	483
Any Old Time	921
Anything Goes	754
April in Paris	130
As Long As I Live	365
As Time Goes By	266
Ask Me Now	475
At Last	869
At Long Last Love	909
At Sundown	812
At the Jazz Band Ball	513
Au Privave	523
Auld Lang Syne	958
Aunt Hagar's Blues	901
Autumn in New York	121
Autumn Leaves (Les Feuilles Mortes)	11
Avalon	109
Away in a Manger	917
Azure	629
Baby, It's Cold Outside	898
Baby Won't You Please Come Home	205
Back in Your Own Backyard	451
Back Water Blues	982
Bad and the Beautiful (Theme from the)	872
Bags' Groove	343
Baia	642
Ballin' the Jack	677
Barbados	627
Basin Street Blues	182
Baubles, Bangles and Beads	422
Be-Bop	440
Be My Love	724
Beale Street Blues	463
Beautiful Love	592
Begin the Beguine	247
Bei Mir Bist Du Schoen	967
Bemsha Swing	321
Bernie's Tune	394
Besame Mucho	294
Bess, You Is My Woman Now	539
Between the Devil and the Deep Blue Sea	157
Bewitched	335
Big Foot	733
Bill Bailey Won't You Please Come Home	975
Billie's Bounce	112
Birk's Works	603
Birth of the Blues	501
Black and Blue	432
Black and Tan Fantasy	837
Black Coffee	892
Blame It on My Youth	857
Blood Count	808
Bloomdido	810
Blue and Sentimental	327
Blue Bossa	557
Blue in Green	426
Blue Lou	198
Blue Monk	185
Blue Moon	94
Blue 'N' Boogie	548
Blue Room	429
Blue Skies	129
Blue Turning Grey Over You	744
Blueberry Hill	602
Blues in My Heart	594
Blues in the Closet	543
Blues in the Night	207
Body and Soul	1
Bohemia After Dark	875
Born to Be Blue	324
Bouncin' with Bud	529
Brazil	911
Broadway	366
Bugle Call Rag	224
But Beautiful	133
But Not for Me	54
By Myself	827
Bye Bye Blackbird	126
Bye Bye Blues	499
C Jam Blues	148
Cabin in the Sky	549
Canadian Sunset	563
Candy	716
Can't Help Lovin' Dat Man	339
Can't We Be Friends	632
Caravan	17
Careless Love	787
Carioca	516
Centerpiece	790
Change Partners	926
Charleston	988
Chasin' the Bird	799
Chattanooga Choo Choo	914
Cheek to Cheek	187
Chelsea Bridge	221
Cherokee (Indian Love Song)	39
Cherry	612
Cheryl	895
Chicago (That Toddlin' Town)	541
China Boy	288
Chinatown My Chinatown	703
Chloe	441
Christmas Time is Here	943
Christopher Columbus	588
Close Enough for Love	847
Close Your Eyes	298
Cocktails for Two	585
Come Rain or Come Shine	51
Come Sunday	151
Comes Love	802
Con Alma	301
Conception	868
Confirmation	218
Coquette	407
Corcovado (Quiet Nights of Quiet Stars)	382
Cottage for Sale	840
Cottontail	233
Crazy He Calls Me	388
Crazy Rhythm	260
Cry Me a River	423
Daahoud	765
Dancing in the Dark	257
Dancing on the Ceiling	671
Danny Boy	649
Dark Eyes	397
Darktown Strutters Ball	547
Darn That Dream	70
Davenport Blues	757
Day By Day	695
Day Dream	237
Day In, Day Out	503
Days of Wine and Roses	135
Dear Old Southland	589
